Balková;50.08333;13.30167;Plzeň-sever;
Balkova Lhota;49.45278;14.60944;Tábor;
Balkovy;49.44306;13.21472;Klatovy;
Bambousek;49.66722;13.46222;Plzeň-jih;
Bambousek;50.05139;15.37389;Pardubice;
Banát;49.58667;18.67222;Frýdek-Místek;
Baně;49.95778;14.38306;Praha;
Banín;49.66694;16.46306;Svitavy;
Baňov;49.70778;14.38306;Příbram;
Bánov;48.98861;17.71833;Uherské Hradiště;
Bánov;50.71111;14.00194;Ústí nad Labem;
Báňov;49.59306;14.63472;Benešov;
Báňovice;49.01222;15.49278;Jindřichův Hradec;
Bantice;48.88389;16.18528;Znojmo;
Barbora;48.95333;14.82889;Jindřichův Hradec;
Barbora;50.60694;13.75667;Teplice;
Barborka;49.32639;15.19583;Pelhřimov;
Barčov;49.59500;14.71361;Benešov;
Barchov;50.19639;15.57139;Hradec Králové;
Barchov;49.99917;15.68056;Pardubice;
Barchovice;49.94472;14.96778;Kolín;
Barchůvek;50.20917;15.54694;Hradec Králové;
Barochov;49.86167;14.62861;Praha-východ;
Barovice;49.76167;15.75139;Havlíčkův Brod;
Bárta;49.58833;14.19194;Příbram;
Bartoňov;49.96722;16.88028;Šumperk;
Bartoňové;48.95306;17.82833;Uherské Hradiště;
Bartošovice;49.68083;18.04139;Nový Jičín;
Bartošovice v Orlických horách;50.16444;16.54806;Rychnov nad Kněžnou;
Bartoušov;49.57972;15.64611;Havlíčkův Brod;
Bartoušov;50.36000;15.32333;Jičín;
Bartovice;49.79861;18.35472;Ostrava-město;
Bartultovice;50.27556;17.59028;Bruntál;
Bařice;49.24500;17.42833;Kroměříž;
Bařiny;49.52278;18.80861;Frýdek-Místek;
Bařiny;49.30944;18.11278;Vsetín;
Baščica;49.62861;18.43361;Frýdek-Místek;
Baška;49.64444;18.37194;Frýdek-Místek;
Bašnice;50.33611;15.60917;Jičín;
Bašť;50.20333;14.46278;Praha-východ;
Bašta;49.04750;14.87056;Jindřichův Hradec;
Baština;49.73944;13.89556;Příbram;
Baštinov;49.58222;15.60389;Havlíčkův Brod;
Bašuš;50.01694;12.65667;Cheb;
Batelov;49.31306;15.39306;Jihlava;
Batín;50.42000;15.23500;Jičín;
Batňovice;50.51389;16.05278;Trutnov;
Batouchovice;49.31222;15.90389;Třebíč;
Bavorov;49.12083;14.07944;Strakonice;
Bavorovice;49.02389;14.44444;České Budějovice;
Bavorovské Svobodné Hory;49.11083;14.10528;Strakonice;
Bavory;48.83528;16.62444;Břeclav;
Bavoryně;49.89917;13.96222;Beroun;
Bažantnice;49.61139;15.06389;Benešov;
Bažantnice;48.85917;17.11222;Hodonín;
Bažantnice;49.03194;14.92278;Jindřichův Hradec;
